product_id,name,category,description,price,color,size,material,occasion,style
P055,Green Summer Dress,Dress,Lightweight green summer dress for relaxed warm-weather occasions,1799,Green,S|M|L|XL,Cotton,Summer|Vacation,Feminine
P056,Cream Cardigan,Jacket,Soft cream cardigan for winter and casual layering,1899,Cream,S|M|L|XL,Acrylic,Winter|Casual,Minimal
P057,Black Bomber Jacket,Jacket,Modern black bomber jacket for casual and college streetwear,2499,Black,S|M|L|XL,Polyester,Casual|College,Streetwear
P058,Brown Faux Leather Jacket,Jacket,Brown faux leather jacket for modern casual and date outfits,2799,Brown,S|M|L|XL,Faux Leather,Casual|Date,Modern
P059,Beige Trench Coat,Jacket,Classic beige trench coat for formal and office styling,3299,Beige,S|M|L|XL,Polyester,Formal|Office,Classic
P060,Navy Blue Blazer,Blazer,Structured navy blue blazer for office and formal outfits,2999,Navy Blue,S|M|L|XL,Polyester Blend,Office|Formal,Formal
P061,Gray Oversized Hoodie,Hoodie,Comfortable gray oversized hoodie for casual college streetwear,1699,Gray,S|M|L|XL,Cotton Blend,Casual|College,Streetwear
P062,Cream Oversized Hoodie,Hoodie,Soft cream oversized hoodie for relaxed casual outfits,1799,Cream,S|M|L|XL,Cotton Blend,Casual|College,Minimal
P063,Maroon Knit Sweater,Sweater,Warm maroon knit sweater for winter casual styling,1999,Maroon,S|M|L|XL,Acrylic,Winter|Casual,Modern
P064,Beige Knit Sweater,Sweater,Classic beige knit sweater for winter and casual outfits,1899,Beige,S|M|L|XL,Acrylic,Winter|Casual,Minimal
P065,Black Polo T-Shirt,Polo,Classic black polo shirt for casual and office-ready outfits,1199,Black,S|M|L|XL,Cotton,Casual|Office,Smart Casual
P066,White Polo T-Shirt,Polo,Clean white polo shirt for casual and office occasions,1199,White,S|M|L|XL,Cotton,Casual|Office,Smart Casual
P067,Red Casual Sneakers,Shoes,Bold red sneakers for modern casual and college outfits,1599,Red,6|7|8|9|10,Synthetic,Casual|College,Modern
P068,Black Chelsea Boots,Boots,Classic black Chelsea boots for formal and modern outfits,2599,Black,6|7|8|9|10,Faux Leather,Formal|Date,Classic
P069,Silver Party Sandals,Sandals,Shimmering silver sandals for parties and special occasions,1899,Silver,6|7|8|9|10,Synthetic,Party|Date,Partywear
P070,Gold Strappy Heels,Heels,Statement gold strappy heels for parties and celebrations,2699,Gold,6|7|8|9|10,Synthetic,Party|Date,Partywear
